method: function.Assign.<init>:793132240
0(793132240) -> 0(1951793101) 
this(793132240) -> this(1951793101) 
0(1951793101) -> 0(899004240) 
this(1951793101) -> this(899004240) 
0(899004240) -> 0(2016805035) 
this(899004240) -> this(2016805035) 
0(2016805035) -> 0(-793132240) 
this(2016805035) -> this(-793132240) 
0(2016805035) -> .return(-793132240) 
