method: org.apache.fop.fo.properties.EnumNumber.getString:1257621720
382879 -> 382880
382881 -> 382882
382879 -> 382883
382879 -> 382884
382880 -> 382885
382882 -> 382886
382883 -> 382887
382884 -> 382888
382885 -> 382889
382886 -> 382890
382887 -> 382891
382888 -> 382892
382889 -> 382893
382890 -> 382894
382891 -> 382895
382893 -> 382896
382894 -> 382897
382895 -> 382898
382899 -> 382900
382896 -> 382901
382897 -> 382902
382898 -> 382903
382900 -> 382904
382900 -> 382905
