method: org.apache.fop.fo.pagination.PageSequence.releasePageSequence:626327939
345948 -> 345949
345950 -> 345951
345948 -> 345952
345949 -> 345953
345951 -> 345954
345952 -> 345955
345953 -> 345956
345954 -> 345957
345955 -> 345958
345956 -> 345959
345957 -> 345960
345958 -> 345961
345959 -> 345962
345960 -> 345963
345961 -> 345964
345962 -> 345965
345963 -> 345966
345964 -> 345967
345962 -> 345968
