method: org.apache.fop.fonts.type1.PFBData.setTrailerSegment:477584280
897627 -> 897628
897629 -> 897630
897631 -> 897632
897628 -> 897633
897630 -> 897634
897632 -> 897635
897633 -> 897636
897634 -> 897637
897635 -> 897638
897636 -> 897639
897637 -> 897640
897638 -> 897641
897639 -> 897642
897640 -> 897643
897641 -> 897644
897639 -> 897645
