method: org.apache.fop.fonts.FontReader.createFont:1081037631
0(1081037631) -> 0(1705172690) 
this(1081037631) -> this(1705172690) 
source(1081037631) -> source(1705172690) 
0(1081037631) -> factory(1705172690) 
0(1081037631) -> e(1705172690) 
0(1081037631) -> $r0(1705172690) 
0(1081037631) -> parser(1705172690) 
0(1081037631) -> $r1(1705172690) 
0(1081037631) -> $r2(1705172690) 
0(1081037631) -> $r3(1705172690) 
0(1081037631) -> e(1705172690) 
0(1081037631) -> $r4(1705172690) 
0(1081037631) -> $r5(1705172690) 
0(1081037631) -> e(1705172690) 
0(1705172690) -> 0(668131615) 
this(1705172690) -> this(668131615) 
source(1705172690) -> source(668131615) 
factory(1705172690) -> factory(668131615) 
e(1705172690) -> e(668131615) 
$r0(1705172690) -> $r0(668131615) 
parser(1705172690) -> parser(668131615) 
$r1(1705172690) -> $r1(668131615) 
$r2(1705172690) -> $r2(668131615) 
$r3(1705172690) -> $r3(668131615) 
e(1705172690) -> e(668131615) 
$r4(1705172690) -> $r4(668131615) 
$r5(1705172690) -> $r5(668131615) 
e(1705172690) -> e(668131615) 
0(668131615) -> 0(1773008697) 
this(668131615) -> this(1773008697) 
source(668131615) -> source(1773008697) 
factory(668131615) -> factory(1773008697) 
e(668131615) -> e(1773008697) 
$r0(668131615) -> $r0(1773008697) 
parser(668131615) -> parser(1773008697) 
$r1(668131615) -> $r1(1773008697) 
$r2(668131615) -> $r2(1773008697) 
$r3(668131615) -> $r3(1773008697) 
e(668131615) -> e(1773008697) 
$r4(668131615) -> $r4(1773008697) 
$r5(668131615) -> $r5(1773008697) 
e(668131615) -> e(1773008697) 
0(1773008697) -> 0(777340179) 
0(1773008697) -> parser(777340179) 
this(1773008697) -> this(777340179) 
source(1773008697) -> source(777340179) 
factory(1773008697) -> factory(777340179) 
e(1773008697) -> e(777340179) 
$r0(1773008697) -> $r0(777340179) 
$r1(1773008697) -> $r1(777340179) 
$r2(1773008697) -> $r2(777340179) 
$r3(1773008697) -> $r3(777340179) 
e(1773008697) -> e(777340179) 
$r4(1773008697) -> $r4(777340179) 
$r5(1773008697) -> $r5(777340179) 
e(1773008697) -> e(777340179) 
0(777340179) -> 0(-777340179) 
this(777340179) -> this(-777340179) 
source(777340179) -> source(-777340179) 
e(777340179) -> e(-777340179) 
$r0(777340179) -> $r0(-777340179) 
parser(777340179) -> parser(-777340179) 
$r1(777340179) -> $r1(-777340179) 
$r2(777340179) -> $r2(-777340179) 
$r3(777340179) -> $r3(-777340179) 
e(777340179) -> e(-777340179) 
$r4(777340179) -> $r4(-777340179) 
$r5(777340179) -> $r5(-777340179) 
e(777340179) -> e(-777340179) 
0(-777340179) -> 0(877117795) 
this(-777340179) -> this(877117795) 
source(-777340179) -> source(877117795) 
factory(-777340179) -> factory(877117795) 
e(-777340179) -> e(877117795) 
$r0(-777340179) -> $r0(877117795) 
parser(-777340179) -> parser(877117795) 
$r1(-777340179) -> $r1(877117795) 
$r2(-777340179) -> $r2(877117795) 
$r3(-777340179) -> $r3(877117795) 
e(-777340179) -> e(877117795) 
$r4(-777340179) -> $r4(877117795) 
$r5(-777340179) -> $r5(877117795) 
e(-777340179) -> e(877117795) 
0(877117795) -> 0(1493169257) 
this(877117795) -> this(1493169257) 
source(877117795) -> source(1493169257) 
factory(877117795) -> factory(1493169257) 
e(877117795) -> e(1493169257) 
$r0(877117795) -> $r0(1493169257) 
parser(877117795) -> parser(1493169257) 
$r1(877117795) -> $r1(1493169257) 
$r2(877117795) -> $r2(1493169257) 
$r3(877117795) -> $r3(1493169257) 
e(877117795) -> e(1493169257) 
$r4(877117795) -> $r4(1493169257) 
$r5(877117795) -> $r5(1493169257) 
e(877117795) -> e(1493169257) 
0(1493169257) -> 0(-1493169257) 
this(1493169257) -> this(-1493169257) 
source(1493169257) -> source(-1493169257) 
factory(1493169257) -> factory(-1493169257) 
e(1493169257) -> e(-1493169257) 
parser(1493169257) -> parser(-1493169257) 
$r1(1493169257) -> $r1(-1493169257) 
$r2(1493169257) -> $r2(-1493169257) 
