method: org.apache.fop.fonts.truetype.TTFMtxEntry.getFound:1315819117
0(1315819117) -> 0(562263685) 
this(1315819117) -> this(562263685) 
0(562263685) -> 0(1026767678) 
this(562263685) -> this(1026767678) 
0(1026767678) -> 0(1853260501) 
this(1026767678) -> this(1853260501) 
0(1853260501) -> 0(-1315819117) 
this(1853260501) -> this(-1315819117) 
0(1853260501) -> .return(-1315819117) 
