method: org.apache.fop.util.BreakUtil.compareBreakClasses:343129650
2600677 -> 2600678
2600678 -> 2600679
2600679 -> 2600680
2600680 -> 2600681
2600681 -> 2600682
2600682 -> 2600683
2600683 -> 2600684
2600684 -> 2600685
2600684 -> 2600686
2600686 -> 2600687
2600686 -> 2600688
2600685 -> 2600687
2600685 -> 2600688
