method: org.apache.fop.fonts.MultiByteFont.<init>:715159776
0(715159776) -> 0(810634778) 
this(715159776) -> this(810634778) 
0(715159776) -> l1(810634778) 
0(715159776) -> l2(810634778) 
0(715159776) -> counterFormat(810634778) 
0(715159776) -> cntString(810634778) 
0(715159776) -> sb(810634778) 
0(715159776) -> $r0(810634778) 
0(715159776) -> $r1(810634778) 
0(715159776) -> $r2(810634778) 
0(715159776) -> $r3(810634778) 
0(715159776) -> $r6(810634778) 
0(715159776) -> $r7(810634778) 
0(715159776) -> $r8(810634778) 
0(715159776) -> $r9(810634778) 
0(715159776) -> $r10(810634778) 
0(715159776) -> $r11(810634778) 
0(810634778) -> 0(1481863787) 
this(810634778) -> this(1481863787) 
l1(810634778) -> l1(1481863787) 
l2(810634778) -> l2(1481863787) 
counterFormat(810634778) -> counterFormat(1481863787) 
cntString(810634778) -> cntString(1481863787) 
sb(810634778) -> sb(1481863787) 
$r0(810634778) -> $r0(1481863787) 
$r1(810634778) -> $r1(1481863787) 
$r2(810634778) -> $r2(1481863787) 
$r3(810634778) -> $r3(1481863787) 
$r6(810634778) -> $r6(1481863787) 
$r7(810634778) -> $r7(1481863787) 
$r8(810634778) -> $r8(1481863787) 
$r9(810634778) -> $r9(1481863787) 
$r10(810634778) -> $r10(1481863787) 
$r11(810634778) -> $r11(1481863787) 
0(1481863787) -> 0(483800343) 
this(1481863787) -> this(483800343) 
l1(1481863787) -> l1(483800343) 
l2(1481863787) -> l2(483800343) 
counterFormat(1481863787) -> counterFormat(483800343) 
cntString(1481863787) -> cntString(483800343) 
sb(1481863787) -> sb(483800343) 
$r0(1481863787) -> $r0(483800343) 
$r1(1481863787) -> $r1(483800343) 
$r2(1481863787) -> $r2(483800343) 
$r3(1481863787) -> $r3(483800343) 
$r6(1481863787) -> $r6(483800343) 
$r7(1481863787) -> $r7(483800343) 
$r8(1481863787) -> $r8(483800343) 
$r9(1481863787) -> $r9(483800343) 
$r10(1481863787) -> $r10(483800343) 
$r11(1481863787) -> $r11(483800343) 
0(483800343) -> 0(108625281) 
this(483800343) -> this(108625281) 
l1(483800343) -> l1(108625281) 
l2(483800343) -> l2(108625281) 
counterFormat(483800343) -> counterFormat(108625281) 
cntString(483800343) -> cntString(108625281) 
sb(483800343) -> sb(108625281) 
$r0(483800343) -> $r0(108625281) 
$r1(483800343) -> $r1(108625281) 
$r2(483800343) -> $r2(108625281) 
$r3(483800343) -> $r3(108625281) 
$r6(483800343) -> $r6(108625281) 
$r7(483800343) -> $r7(108625281) 
$r8(483800343) -> $r8(108625281) 
$r9(483800343) -> $r9(108625281) 
$r10(483800343) -> $r10(108625281) 
$r11(483800343) -> $r11(108625281) 
0(108625281) -> 0(963213033) 
this(108625281) -> this(963213033) 
l1(108625281) -> l1(963213033) 
l2(108625281) -> l2(963213033) 
counterFormat(108625281) -> counterFormat(963213033) 
cntString(108625281) -> cntString(963213033) 
sb(108625281) -> sb(963213033) 
$r0(108625281) -> $r0(963213033) 
$r1(108625281) -> $r1(963213033) 
$r2(108625281) -> $r2(963213033) 
$r3(108625281) -> $r3(963213033) 
$r6(108625281) -> $r6(963213033) 
$r7(108625281) -> $r7(963213033) 
$r8(108625281) -> $r8(963213033) 
$r9(108625281) -> $r9(963213033) 
$r10(108625281) -> $r10(963213033) 
$r11(108625281) -> $r11(963213033) 
0(963213033) -> 0(1871511800) 
this(963213033) -> this(1871511800) 
l1(963213033) -> l1(1871511800) 
l2(963213033) -> l2(1871511800) 
counterFormat(963213033) -> counterFormat(1871511800) 
cntString(963213033) -> cntString(1871511800) 
sb(963213033) -> sb(1871511800) 
$r0(963213033) -> $r0(1871511800) 
$r1(963213033) -> $r1(1871511800) 
$r2(963213033) -> $r2(1871511800) 
$r3(963213033) -> $r3(1871511800) 
$r6(963213033) -> $r6(1871511800) 
$r7(963213033) -> $r7(1871511800) 
$r8(963213033) -> $r8(1871511800) 
$r9(963213033) -> $r9(1871511800) 
$r10(963213033) -> $r10(1871511800) 
$r11(963213033) -> $r11(1871511800) 
0(1871511800) -> 0(305844991) 
this(1871511800) -> this(305844991) 
l1(1871511800) -> l1(305844991) 
l2(1871511800) -> l2(305844991) 
counterFormat(1871511800) -> counterFormat(305844991) 
cntString(1871511800) -> cntString(305844991) 
sb(1871511800) -> sb(305844991) 
$r0(1871511800) -> $r0(305844991) 
$r1(1871511800) -> $r1(305844991) 
$r2(1871511800) -> $r2(305844991) 
$r3(1871511800) -> $r3(305844991) 
$r6(1871511800) -> $r6(305844991) 
$r7(1871511800) -> $r7(305844991) 
$r8(1871511800) -> $r8(305844991) 
$r9(1871511800) -> $r9(305844991) 
$r10(1871511800) -> $r10(305844991) 
$r11(1871511800) -> $r11(305844991) 
0(305844991) -> 0(2075096349) 
this(305844991) -> this(2075096349) 
l1(305844991) -> l1(2075096349) 
l2(305844991) -> l2(2075096349) 
counterFormat(305844991) -> counterFormat(2075096349) 
cntString(305844991) -> cntString(2075096349) 
sb(305844991) -> sb(2075096349) 
$r0(305844991) -> $r0(2075096349) 
$r1(305844991) -> $r1(2075096349) 
$r2(305844991) -> $r2(2075096349) 
$r3(305844991) -> $r3(2075096349) 
$r6(305844991) -> $r6(2075096349) 
$r7(305844991) -> $r7(2075096349) 
$r8(305844991) -> $r8(2075096349) 
$r9(305844991) -> $r9(2075096349) 
$r10(305844991) -> $r10(2075096349) 
$r11(305844991) -> $r11(2075096349) 
0(2075096349) -> 0(798610762) 
this(2075096349) -> this(798610762) 
l1(2075096349) -> l1(798610762) 
l2(2075096349) -> l2(798610762) 
counterFormat(2075096349) -> counterFormat(798610762) 
cntString(2075096349) -> cntString(798610762) 
sb(2075096349) -> sb(798610762) 
$r0(2075096349) -> $r0(798610762) 
$r1(2075096349) -> $r1(798610762) 
$r2(2075096349) -> $r2(798610762) 
$r3(2075096349) -> $r3(798610762) 
$r6(2075096349) -> $r6(798610762) 
$r7(2075096349) -> $r7(798610762) 
$r8(2075096349) -> $r8(798610762) 
$r9(2075096349) -> $r9(798610762) 
$r10(2075096349) -> $r10(798610762) 
$r11(2075096349) -> $r11(798610762) 
0(798610762) -> 0(474182767) 
this(798610762) -> this(474182767) 
l1(798610762) -> l1(474182767) 
l2(798610762) -> l2(474182767) 
counterFormat(798610762) -> counterFormat(474182767) 
cntString(798610762) -> cntString(474182767) 
sb(798610762) -> sb(474182767) 
$r0(798610762) -> $r0(474182767) 
$r1(798610762) -> $r1(474182767) 
$r2(798610762) -> $r2(474182767) 
$r3(798610762) -> $r3(474182767) 
$r6(798610762) -> $r6(474182767) 
$r7(798610762) -> $r7(474182767) 
$r8(798610762) -> $r8(474182767) 
$r9(798610762) -> $r9(474182767) 
$r10(798610762) -> $r10(474182767) 
$r11(798610762) -> $r11(474182767) 
0(474182767) -> 0(277950952) 
this(474182767) -> this(277950952) 
l1(474182767) -> l1(277950952) 
l2(474182767) -> l2(277950952) 
counterFormat(474182767) -> counterFormat(277950952) 
cntString(474182767) -> cntString(277950952) 
sb(474182767) -> sb(277950952) 
$r0(474182767) -> $r0(277950952) 
$r1(474182767) -> $r1(277950952) 
$r2(474182767) -> $r2(277950952) 
$r3(474182767) -> $r3(277950952) 
$r6(474182767) -> $r6(277950952) 
$r7(474182767) -> $r7(277950952) 
$r8(474182767) -> $r8(277950952) 
$r9(474182767) -> $r9(277950952) 
$r10(474182767) -> $r10(277950952) 
$r11(474182767) -> $r11(277950952) 
0(277950952) -> 0(1375197450) 
this(277950952) -> this(1375197450) 
l1(277950952) -> l1(1375197450) 
l2(277950952) -> l2(1375197450) 
counterFormat(277950952) -> counterFormat(1375197450) 
cntString(277950952) -> cntString(1375197450) 
sb(277950952) -> sb(1375197450) 
$r0(277950952) -> $r0(1375197450) 
$r1(277950952) -> $r1(1375197450) 
$r3(277950952) -> $r3(1375197450) 
$r6(277950952) -> $r6(1375197450) 
$r7(277950952) -> $r7(1375197450) 
$r8(277950952) -> $r8(1375197450) 
