method: org.apache.fop.render.rtf.FoUnitsConverter.convertToTwips:1162557609
2232447 -> 2232495
2232450 -> 2232498
2232451 -> 2232499
2232452 -> 2232500
2232493 -> 2232341
2232494 -> 2232342
2232495 -> 2232343
2232496 -> 2232344
2232497 -> 2232345
2232495 -> 2232343
2232498 -> 2232346
2232499 -> 2232347
2232500 -> 2232348
2232365 -> 2232501
2232366 -> 2232502
2232367 -> 2232503
2232368 -> 2232504
2232369 -> 2232505
2232367 -> 2232503
2232370 -> 2232506
2232372 -> 2232507
2232501 -> 2232508
2232502 -> 2232509
2232503 -> 2232510
2232504 -> 2232511
2232505 -> 2232512
2232503 -> 2232510
2232506 -> 2232513
2232514 -> 2232515
2232507 -> 2232516
2232508 -> 2232517
2232509 -> 2232518
2232510 -> 2232519
2232511 -> 2232520
2232512 -> 2232521
2232510 -> 2232519
2232513 -> 2232522
2232515 -> 2232523
2232517 -> 2232524
2232518 -> 2232525
2232519 -> 2232526
2232520 -> 2232527
2232521 -> 2232528
2232519 -> 2232526
2232522 -> 2232529
2232523 -> 2232530
2232531 -> 2232532
2232524 -> 2232533
2232525 -> 2232534
2232526 -> 2232535
2232527 -> 2232536
2232528 -> 2232537
2232526 -> 2232535
2232529 -> 2232538
2232530 -> 2232539
2232532 -> 2232540
2232533 -> 2232541
2232534 -> 2232542
2232535 -> 2232543
2232536 -> 2232544
2232537 -> 2232545
2232535 -> 2232543
2232538 -> 2232546
2232539 -> 2232547
2232540 -> 2232548
2232541 -> 2232549
2232542 -> 2232550
2232543 -> 2232551
2232544 -> 2232552
2232545 -> 2232553
2232543 -> 2232551
2232546 -> 2232554
2232547 -> 2232555
2232548 -> 2232556
2232541 -> 2232557
