method: org.apache.fop.fo.PropertyList.getFontProps:428523928
429338 -> 429339
429340 -> 429341
429338 -> 429342
429339 -> 429343
429341 -> 429344
429342 -> 429345
429343 -> 429346
429344 -> 429347
429346 -> 429348
429347 -> 429349
429350 -> 429351
429348 -> 429352
429349 -> 429353
429351 -> 429354
429351 -> 429355
