method: org.apache.fop.render.ps.PSRenderer.endTextObject:1688882947
2187616 -> 2187617
2187618 -> 2187619
2187617 -> 2187620
2187619 -> 2187621
2187620 -> 2187622
2187621 -> 2187623
2187622 -> 2187624
2187623 -> 2187625
2187622 -> 2187626
2187623 -> 2187627
2187626 -> 2187628
2187627 -> 2187629
2187628 -> 2187630
2187629 -> 2187631
2187630 -> 2187624
2187631 -> 2187625
2187624 -> 2187632
2187625 -> 2187633
2187624 -> 2187634
