method: org.apache.fop.layoutmgr.table.TableCellLayoutManager.adjustYOffset:741490354
1487686 -> 1487687
1487688 -> 1487689
1487687 -> 1487690
1487689 -> 1487691
1487690 -> 1487692
1487691 -> 1487693
1487692 -> 1487694
1487693 -> 1487695
1487694 -> 1487696
1487695 -> 1487697
1487696 -> 1487698
1487697 -> 1487699
1487698 -> 1487700
1487699 -> 1487701
1487700 -> 1487702
1487701 -> 1487703
1487700 -> 1487704
