method: org.apache.fop.svg.PDFGraphics2D.setOverrideFontState:94670420
2404003 -> 2404004
2404005 -> 2404006
2404007 -> 2404008
2404004 -> 2404009
2404006 -> 2404010
2404008 -> 2404011
2404009 -> 2404012
2404010 -> 2404013
2404011 -> 2404014
2404012 -> 2404015
2404013 -> 2404016
2404014 -> 2404017
2404015 -> 2404018
2404016 -> 2404019
2404017 -> 2404020
2404015 -> 2404021
