method: org.apache.fop.render.ps.extensions.PSExtensionAttachment.<init>:295351061
0(295351061) -> 0(1521317609) 
this(295351061) -> this(1521317609) 
0(1521317609) -> 0(754003450) 
this(1521317609) -> this(754003450) 
0(754003450) -> 0(234983203) 
this(754003450) -> this(234983203) 
0(234983203) -> 0(-295351061) 
this(234983203) -> this(-295351061) 
0(234983203) -> .return(-295351061) 
