method: org.apache.fop.fonts.FontTriplet.toString:1660553423
805613 -> 805614
805615 -> 805616
805613 -> 805617
805614 -> 805618
805616 -> 805619
805617 -> 805620
805618 -> 805621
805619 -> 805622
805621 -> 805623
805622 -> 805624
805625 -> 805626
805623 -> 805627
805624 -> 805628
805626 -> 805629
805626 -> 805630
