method: org.apache.fop.fo.flow.Character.access$002:1517575509
0(1517575509) -> 0(1283898843) 
x0(1517575509) -> x0(1283898843) 
0(1283898843) -> 0(572169245) 
x0(1283898843) -> x0(572169245) 
0(572169245) -> 0(702565976) 
x0(572169245) -> x0(702565976) 
0(702565976) -> 0(1161267426) 
x0(702565976) -> x0(1161267426) 
0(1161267426) -> 0(-1517575509) 
x0(1161267426) -> x0(-1517575509) 
0(1161267426) -> .return(-1517575509) 
