method: org.apache.fop.fo.properties.CommonFont.getInstance:1271103604
0(-366859237) -> 0(1277472769) 
pList(-366859237) -> pList(1277472769) 
fontFamily(-366859237) -> fontFamily(1277472769) 
fontSelectionStrategy(-366859237) -> fontSelectionStrategy(1277472769) 
fontStretch(-366859237) -> fontStretch(1277472769) 
fontStyle(-366859237) -> fontStyle(1277472769) 
fontVariant(-366859237) -> fontVariant(1277472769) 
fontWeight(-366859237) -> fontWeight(1277472769) 
cachedCommonFont(-366859237) -> cachedCommonFont(1277472769) 
fontSizeAdjust(-366859237) -> fontSizeAdjust(1277472769) 
fontSize(-366859237) -> fontSize(1277472769) 
cf(-366859237) -> cf(1277472769) 
$r0(-366859237) -> $r0(1277472769) 
$r1(-366859237) -> $r1(1277472769) 
$r2(-366859237) -> $r2(1277472769) 
0(1277472769) -> 0(463053856) 
pList(1277472769) -> pList(463053856) 
fontFamily(1277472769) -> fontFamily(463053856) 
fontSelectionStrategy(1277472769) -> fontSelectionStrategy(463053856) 
fontStyle(1277472769) -> fontStyle(463053856) 
fontVariant(1277472769) -> fontVariant(463053856) 
fontWeight(1277472769) -> fontWeight(463053856) 
cachedCommonFont(1277472769) -> cachedCommonFont(463053856) 
fontSizeAdjust(1277472769) -> fontSizeAdjust(463053856) 
fontSize(1277472769) -> fontSize(463053856) 
cf(1277472769) -> cf(463053856) 
$r0(1277472769) -> fontStretch(463053856) 
$r0(1277472769) -> $r0(463053856) 
$r1(1277472769) -> $r1(463053856) 
$r2(1277472769) -> $r2(463053856) 
0(463053856) -> 0(-463053856) 
pList(463053856) -> pList(-463053856) 
fontFamily(463053856) -> fontFamily(-463053856) 
fontSelectionStrategy(463053856) -> fontSelectionStrategy(-463053856) 
fontStretch(463053856) -> fontStretch(-463053856) 
fontStyle(463053856) -> fontStyle(-463053856) 
fontVariant(463053856) -> fontVariant(-463053856) 
fontWeight(463053856) -> fontWeight(-463053856) 
cachedCommonFont(463053856) -> cachedCommonFont(-463053856) 
fontSizeAdjust(463053856) -> fontSizeAdjust(-463053856) 
fontSize(463053856) -> fontSize(-463053856) 
cf(463053856) -> cf(-463053856) 
$r1(463053856) -> $r1(-463053856) 
$r2(463053856) -> $r2(-463053856) 
0(-463053856) -> 0(20195384) 
pList(-463053856) -> pList(20195384) 
fontFamily(-463053856) -> fontFamily(20195384) 
fontSelectionStrategy(-463053856) -> fontSelectionStrategy(20195384) 
fontStretch(-463053856) -> fontStretch(20195384) 
fontStyle(-463053856) -> fontStyle(20195384) 
fontVariant(-463053856) -> fontVariant(20195384) 
fontWeight(-463053856) -> fontWeight(20195384) 
cachedCommonFont(-463053856) -> cachedCommonFont(20195384) 
fontSizeAdjust(-463053856) -> fontSizeAdjust(20195384) 
fontSize(-463053856) -> fontSize(20195384) 
cf(-463053856) -> cf(20195384) 
$r0(-463053856) -> $r0(20195384) 
$r1(-463053856) -> $r1(20195384) 
$r2(-463053856) -> $r2(20195384) 
0(20195384) -> 0(1361874899) 
pList(20195384) -> pList(1361874899) 
fontFamily(20195384) -> fontFamily(1361874899) 
fontSelectionStrategy(20195384) -> fontSelectionStrategy(1361874899) 
fontStretch(20195384) -> fontStretch(1361874899) 
fontVariant(20195384) -> fontVariant(1361874899) 
fontWeight(20195384) -> fontWeight(1361874899) 
cachedCommonFont(20195384) -> cachedCommonFont(1361874899) 
fontSizeAdjust(20195384) -> fontSizeAdjust(1361874899) 
fontSize(20195384) -> fontSize(1361874899) 
cf(20195384) -> cf(1361874899) 
$r0(20195384) -> fontStyle(1361874899) 
$r0(20195384) -> $r0(1361874899) 
$r1(20195384) -> $r1(1361874899) 
$r2(20195384) -> $r2(1361874899) 
0(1361874899) -> 0(-1361874899) 
pList(1361874899) -> pList(-1361874899) 
fontFamily(1361874899) -> fontFamily(-1361874899) 
fontSelectionStrategy(1361874899) -> fontSelectionStrategy(-1361874899) 
fontStretch(1361874899) -> fontStretch(-1361874899) 
fontStyle(1361874899) -> fontStyle(-1361874899) 
fontVariant(1361874899) -> fontVariant(-1361874899) 
fontWeight(1361874899) -> fontWeight(-1361874899) 
cachedCommonFont(1361874899) -> cachedCommonFont(-1361874899) 
fontSizeAdjust(1361874899) -> fontSizeAdjust(-1361874899) 
fontSize(1361874899) -> fontSize(-1361874899) 
cf(1361874899) -> cf(-1361874899) 
$r1(1361874899) -> $r1(-1361874899) 
$r2(1361874899) -> $r2(-1361874899) 
0(-1361874899) -> 0(2023268734) 
pList(-1361874899) -> pList(2023268734) 
fontFamily(-1361874899) -> fontFamily(2023268734) 
fontSelectionStrategy(-1361874899) -> fontSelectionStrategy(2023268734) 
fontStretch(-1361874899) -> fontStretch(2023268734) 
fontStyle(-1361874899) -> fontStyle(2023268734) 
fontVariant(-1361874899) -> fontVariant(2023268734) 
fontWeight(-1361874899) -> fontWeight(2023268734) 
cachedCommonFont(-1361874899) -> cachedCommonFont(2023268734) 
fontSizeAdjust(-1361874899) -> fontSizeAdjust(2023268734) 
fontSize(-1361874899) -> fontSize(2023268734) 
cf(-1361874899) -> cf(2023268734) 
$r0(-1361874899) -> $r0(2023268734) 
$r1(-1361874899) -> $r1(2023268734) 
$r2(-1361874899) -> $r2(2023268734) 
0(2023268734) -> 0(1376981501) 
