method: org.apache.fop.fonts.FontTriplet.toString:1660553423
0(1660553423) -> 0(1082148940) 
this(1660553423) -> this(1082148940) 
0(1660553423) -> $r0(1082148940) 
0(1082148940) -> 0(19481794) 
this(1082148940) -> this(19481794) 
$r0(1082148940) -> $r0(19481794) 
0(19481794) -> 0(-19481794) 
this(19481794) -> this(-19481794) 
0(-19481794) -> 0(1012997414) 
this(-19481794) -> this(1012997414) 
$r0(-19481794) -> $r0(1012997414) 
0(1012997414) -> 0(-1660553423) 
this(1012997414) -> this(-1660553423) 
$r0(1012997414) -> $r0(-1660553423) 
$r0(1012997414) -> .return(-1660553423) 
