method: org.apache.fop.render.java2d.Java2DRenderer.getGraphics2DAdapter:287749887
1907060 -> 1907061
1907062 -> 1907063
1907060 -> 1907064
1907061 -> 1907065
1907063 -> 1907066
1907064 -> 1907067
1907065 -> 1907068
1907066 -> 1907069
1907068 -> 1907070
1907069 -> 1907071
1907072 -> 1907073
1907070 -> 1907074
1907071 -> 1907075
1907073 -> 1907076
1907073 -> 1907077
