method: org.apache.fop.fonts.CIDFontType.<clinit>:123308993
745894 -> 745895
745894 -> 745896
745895 -> 745897
745897 -> 745898
745899 -> 745900
745898 -> 745901
745900 -> 745902
745901 -> 745903
745903 -> 745904
745905 -> 745906
745904 -> 745907
745906 -> 745908
745907 -> 745909
745908 -> 745910
745907 -> 745911
