method: org.apache.fop.pdf.PDFFont.output:1025112811
1610874 -> 1610875
1610876 -> 1610877
1610878 -> 1610879
1610875 -> 1610880
1610877 -> 1610881
1610879 -> 1610882
1610880 -> 1610883
1610881 -> 1610884
1610882 -> 1610885
1610883 -> 1610886
1610884 -> 1610887
1610885 -> 1610888
1610886 -> 1610889
1610887 -> 1610890
1610888 -> 1610891
1610889 -> 1610892
1610890 -> 1610893
1610891 -> 1610894
1610892 -> 1610895
1610893 -> 1610896
1610894 -> 1610897
1610892 -> 1610898
