method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfExternalGraphic$FormatEMF.<init>:1731077609
2307425 -> 2307426
2307427 -> 2307428
2307429 -> 2307430
2307426 -> 2307431
2307428 -> 2307432
2307430 -> 2307433
2307431 -> 2307434
2307432 -> 2307435
2307433 -> 2307436
2307434 -> 2307437
2307435 -> 2307438
2307436 -> 2307439
2307437 -> 2307440
2307438 -> 2307441
2307439 -> 2307442
2307437 -> 2307443
