method: org.apache.fop.area.inline.FilledArea.applyVariationFactor:106315772
84474 -> 84475
84476 -> 84477
84474 -> 84478
84475 -> 84479
84477 -> 84480
84478 -> 84481
84479 -> 84482
84480 -> 84483
84481 -> 84484
84482 -> 84485
84483 -> 84486
84484 -> 84487
84485 -> 84488
84486 -> 84489
84487 -> 84490
84488 -> 84491
84489 -> 84492
84490 -> 84493
84491 -> 84494
84492 -> 84495
84493 -> 84496
84494 -> 84497
84495 -> 84498
84496 -> 84499
84497 -> 84500
84498 -> 84501
84499 -> 84502
84500 -> 84503
84501 -> 84504
84502 -> 84505
84503 -> 84506
84504 -> 84507
84505 -> 84508
84506 -> 84509
84507 -> 84510
84508 -> 84511
84509 -> 84512
84510 -> 84513
84511 -> 84514
84509 -> 84515
