method: org.apache.fop.render.ps.PSTextPainter.selectFirst:158671001
2210654 -> 2210655
2210656 -> 2210657
2210658 -> 2210659
2210655 -> 2210660
2210657 -> 2210661
2210659 -> 2210662
2210660 -> 2210663
2210661 -> 2210664
2210662 -> 2210665
2210663 -> 2210666
2210664 -> 2210667
2210665 -> 2210668
2210663 -> 2210669
