method: org.apache.fop.render.afp.modca.ImageOutputControl.setSinglepoint:625828762
0(625828762) -> 0(1126075019) 
this(625828762) -> this(1126075019) 
0(1126075019) -> 0(169463322) 
this(1126075019) -> this(169463322) 
0(169463322) -> 0(43058470) 
this(169463322) -> this(43058470) 
0(43058470) -> 0(2129199898) 
this(43058470) -> this(2129199898) 
0(2129199898) -> 0(-625828762) 
this(2129199898) -> this(-625828762) 
0(2129199898) -> .return(-625828762) 
