method: org.apache.fop.pdf.PDFDocument.getFontMap:1934969088
1562118 -> 1562119
1562120 -> 1562121
1562118 -> 1562122
1562119 -> 1562123
1562121 -> 1562124
1562122 -> 1562125
1562123 -> 1562126
1562124 -> 1562127
1562125 -> 1562128
1562126 -> 1562129
1562127 -> 1562130
1562128 -> 1562131
1562128 -> 1562132
