method: org.apache.fop.svg.PDFBridgeContext.getImageManager:1756903830
2396900 -> 2396901
2396902 -> 2396903
2396900 -> 2396904
2396901 -> 2396905
2396903 -> 2396906
2396904 -> 2396907
2396905 -> 2396908
2396906 -> 2396909
2396907 -> 2396910
2396908 -> 2396911
2396909 -> 2396912
2396910 -> 2396913
2396910 -> 2396914
