method: org.apache.fop.pdf.PDFFontType0.setCMAP:1529739540
1612078 -> 1612079
1612080 -> 1612081
1612082 -> 1612083
1612079 -> 1612084
1612081 -> 1612085
1612083 -> 1612086
1612084 -> 1612087
1612085 -> 1612088
1612086 -> 1612089
1612087 -> 1612090
1612088 -> 1612091
1612089 -> 1612092
1612090 -> 1612093
1612091 -> 1612094
1612092 -> 1612095
1612090 -> 1612096
