method: org.apache.fop.fo.PropertyList.getBorderPaddingBackgroundProps:977205034
429185 -> 429186
429187 -> 429188
429185 -> 429189
429186 -> 429190
429188 -> 429191
429189 -> 429192
429190 -> 429193
429191 -> 429194
429193 -> 429195
429194 -> 429196
429197 -> 429198
429195 -> 429199
429196 -> 429200
429198 -> 429201
429198 -> 429202
