method: org.apache.fop.fo.FObjMixed.charIterator:2022860174
253847 -> 253848
253849 -> 253850
253847 -> 253851
253848 -> 253852
253850 -> 253853
253851 -> 253854
253852 -> 253855
253853 -> 253856
253855 -> 253857
253856 -> 253858
253859 -> 253860
253857 -> 253861
253858 -> 253862
253860 -> 253863
253860 -> 253864
