method: org.apache.fop.render.afp.AFPRenderer.getGraphics2DAdapter:1336124893
1730717 -> 1730718
1730719 -> 1730720
1730717 -> 1730721
1730718 -> 1730722
1730720 -> 1730723
1730721 -> 1730724
1730722 -> 1730725
1730723 -> 1730726
1730725 -> 1730727
1730726 -> 1730728
1730729 -> 1730730
1730727 -> 1730731
1730728 -> 1730732
1730730 -> 1730733
1730730 -> 1730734
