method: org.apache.fop.fo.properties.SpaceProperty.setConditionality:507047872
418741 -> 418742
418743 -> 418744
418745 -> 418746
418742 -> 418747
418744 -> 418748
418746 -> 418749
418747 -> 418750
418748 -> 418751
418749 -> 418752
418750 -> 418753
418751 -> 418754
418752 -> 418755
418753 -> 418756
418754 -> 418757
418755 -> 418758
418756 -> 418759
418757 -> 418760
418758 -> 418761
418756 -> 418762
