method: org.apache.fop.fonts.SingleByteFont.getEncoding:1173554906
825279 -> 825280
825281 -> 825282
825279 -> 825283
825279 -> 825284
825280 -> 825285
825282 -> 825286
825283 -> 825287
825284 -> 825288
825285 -> 825289
825286 -> 825290
825287 -> 825291
825288 -> 825292
825289 -> 825293
825290 -> 825294
825291 -> 825295
825293 -> 825296
825294 -> 825297
825295 -> 825298
825299 -> 825300
825296 -> 825301
825297 -> 825302
825298 -> 825303
825300 -> 825304
825300 -> 825305
