method: org.apache.fop.util.ColorExt.getOrigColorSpace:296175223
2601414 -> 2601415
2601416 -> 2601417
2601414 -> 2601418
2601415 -> 2601419
2601417 -> 2601420
2601418 -> 2601421
2601419 -> 2601422
2601420 -> 2601423
2601421 -> 2601424
2601422 -> 2601425
2601423 -> 2601426
2601424 -> 2601427
2601424 -> 2601428
