method: org.apache.fop.layoutmgr.inline.BidiLayoutManager.size:904165101
1152010 -> 1152011
1152012 -> 1152013
1152010 -> 1152014
1152011 -> 1152015
1152013 -> 1152016
1152014 -> 1152017
1152015 -> 1152018
1152016 -> 1152019
1152017 -> 1152020
1152018 -> 1152021
1152019 -> 1152022
1152020 -> 1152023
1152021 -> 1152024
1152022 -> 1152025
1152023 -> 1152026
1152024 -> 1152027
1152025 -> 1152028
1152026 -> 1152029
1152024 -> 1152030
