method: org.apache.fop.layoutmgr.PageBreakingAlgorithm$BestPageRecords.getFootnoteListIndex:1972242584
1385524 -> 1385525
1385526 -> 1385527
1385524 -> 1385528
1385525 -> 1385529
1385527 -> 1385530
1385528 -> 1385531
1385529 -> 1385532
1385530 -> 1385533
1385531 -> 1385534
1385532 -> 1385535
1385533 -> 1385536
1385534 -> 1385537
1385535 -> 1385538
1385536 -> 1385539
1385537 -> 1385540
1385538 -> 1385541
1385539 -> 1385542
1385540 -> 1385543
1385538 -> 1385544
