method: org.apache.fop.pdf.BitmapImage.getWidth:1737598705
0(1737598705) -> 0(646131305) 
this(1737598705) -> this(646131305) 
0(646131305) -> 0(1524192691) 
this(646131305) -> this(1524192691) 
0(1524192691) -> 0(1921616221) 
this(1524192691) -> this(1921616221) 
0(1921616221) -> 0(-1737598705) 
this(1921616221) -> this(-1737598705) 
0(1921616221) -> .return(-1737598705) 
