method: org.apache.fop.util.DataURLUtil.<init>:995783738
0(995783738) -> 0(39733914) 
this(995783738) -> this(39733914) 
0(39733914) -> 0(347528969) 
this(39733914) -> this(347528969) 
0(347528969) -> 0(1911345790) 
this(347528969) -> this(1911345790) 
0(1911345790) -> 0(-995783738) 
this(1911345790) -> this(-995783738) 
0(1911345790) -> .return(-995783738) 
