method: org.apache.fop.layoutmgr.BlockStackingLayoutManager.getCurrentArea:1297483049
1060304 -> 1060305
1060306 -> 1060307
1060304 -> 1060308
1060305 -> 1060309
1060307 -> 1060310
1060308 -> 1060311
1060309 -> 1060312
1060310 -> 1060313
1060311 -> 1060314
1060312 -> 1060315
1060313 -> 1060316
1060314 -> 1060317
1060314 -> 1060318
