method: org.apache.fop.fo.properties.CondLengthProperty.isDiscard:953772236
380694 -> 380695
380696 -> 380697
380694 -> 380698
380695 -> 380699
380697 -> 380700
380698 -> 380701
380699 -> 380702
380700 -> 380703
380701 -> 380704
380702 -> 380705
380703 -> 380706
380704 -> 380707
380705 -> 380708
380706 -> 380709
380707 -> 380710
380708 -> 380711
380709 -> 380712
380710 -> 380713
380708 -> 380714
380709 -> 380715
380710 -> 380716
380714 -> 380717
380715 -> 380718
380716 -> 380719
380717 -> 380720
380718 -> 380721
380719 -> 380722
380711 -> 380720
380712 -> 380721
380713 -> 380722
380720 -> 380723
380721 -> 380724
380722 -> 380725
380720 -> 380726
