method: org.apache.fop.fo.expr.NumericOp.numeric:275151054
0(275151054) -> 0(1095914661) 
0(275151054) -> $r0(1095914661) 
0(1095914661) -> 0(70467108) 
$r0(1095914661) -> $r0(70467108) 
0(70467108) -> 0(1077194659) 
$r0(70467108) -> $r0(1077194659) 
0(1077194659) -> 0(982656238) 
0(982656238) -> 0(1354146636) 
$r0(982656238) -> $r0(1354146636) 
0(1354146636) -> 0(-275151054) 
$r0(1354146636) -> $r0(-275151054) 
$r0(1354146636) -> .return(-275151054) 
