method: org.apache.fop.fo.flow.PageNumber.getDominantBaseline:1920225256
0(1920225256) -> 0(1302995002) 
this(1920225256) -> this(1302995002) 
0(1302995002) -> 0(1126742738) 
this(1302995002) -> this(1126742738) 
0(1126742738) -> 0(654398320) 
this(1126742738) -> this(654398320) 
0(654398320) -> 0(-1920225256) 
this(654398320) -> this(-1920225256) 
0(654398320) -> .return(-1920225256) 
