method: org.apache.fop.layoutmgr.BreakingAlgorithm.handleBox:1234228076
1112640 -> 1112641
1112642 -> 1112643
1112644 -> 1112645
1112641 -> 1112646
1112643 -> 1112647
1112645 -> 1112648
1112646 -> 1112649
1112647 -> 1112650
1112648 -> 1112651
1112649 -> 1112652
1112650 -> 1112653
1112651 -> 1112654
1112649 -> 1112655
