method: org.apache.fop.svg.PDFImageElementBridge$LoaderImageNode.getGeometryBounds:288669939
2463894 -> 2463895
2463896 -> 2463897
2463894 -> 2463898
2463895 -> 2463899
2463897 -> 2463900
2463898 -> 2463901
2463899 -> 2463902
2463900 -> 2463903
2463902 -> 2463904
2463903 -> 2463905
2463906 -> 2463907
2463904 -> 2463908
2463905 -> 2463909
2463907 -> 2463910
2463907 -> 2463911
