method: org.apache.fop.layoutmgr.table.TableCellLayoutManager.adjustBPD:203266499
1487724 -> 1487725
1487726 -> 1487727
1487725 -> 1487728
1487727 -> 1487729
1487728 -> 1487730
1487729 -> 1487731
1487730 -> 1487732
1487731 -> 1487733
1487732 -> 1487734
1487733 -> 1487735
1487734 -> 1487736
1487735 -> 1487737
1487736 -> 1487738
1487737 -> 1487739
1487738 -> 1487740
1487739 -> 1487741
1487738 -> 1487742
