method: org.apache.fop.area.inline.InlineArea.setAdjustment:595246690
84792 -> 84793
84794 -> 84795
84792 -> 84796
84793 -> 84797
84795 -> 84798
84796 -> 84799
84797 -> 84800
84798 -> 84801
84799 -> 84802
84800 -> 84803
84801 -> 84804
84802 -> 84805
84803 -> 84806
84804 -> 84807
84805 -> 84808
84803 -> 84809
84804 -> 84810
84805 -> 84811
84809 -> 84812
84810 -> 84813
84811 -> 84814
84812 -> 84806
84813 -> 84807
84814 -> 84808
84806 -> 84815
84807 -> 84816
84808 -> 84817
84806 -> 84818
