method: org.apache.fop.area.Footnote.setTop:845037347
0(845037347) -> 0(1817935080) 
this(845037347) -> this(1817935080) 
0(1817935080) -> 0(1785043691) 
this(1817935080) -> this(1785043691) 
0(1785043691) -> 0(580392532) 
this(1785043691) -> this(580392532) 
0(580392532) -> 0(786560650) 
this(580392532) -> this(786560650) 
0(786560650) -> 0(-845037347) 
this(786560650) -> this(-845037347) 
0(786560650) -> .return(-845037347) 
