method: org.apache.fop.svg.PDFDocumentGraphics2D.getPDFContext:1472408894
2398354 -> 2398355
2398356 -> 2398357
2398354 -> 2398358
2398355 -> 2398359
2398357 -> 2398360
2398358 -> 2398361
2398359 -> 2398362
2398360 -> 2398363
2398361 -> 2398364
2398362 -> 2398365
2398363 -> 2398366
2398364 -> 2398367
2398364 -> 2398368
