method: org.apache.fop.render.ps.extensions.PSExtensionHandlerFactory.<clinit>:69653693
0(69653693) -> 0(1000174443) 
0(69653693) -> $r0(1000174443) 
0(1000174443) -> 0(490511914) 
0(490511914) -> 0(1991501412) 
$r0(490511914) -> $r0(1991501412) 
0(1991501412) -> 0(484109342) 
$r0(1991501412) -> $r0(484109342) 
0(484109342) -> 0(-69653693) 
$r0(484109342) -> $r0(-69653693) 
0(484109342) -> .return(-69653693) 
