method: org.apache.fop.svg.PDFTextUtil.setFonts:178550881
2478245 -> 2478246
2478247 -> 2478248
2478249 -> 2478250
2478246 -> 2478251
2478248 -> 2478252
2478250 -> 2478253
2478251 -> 2478254
2478252 -> 2478255
2478253 -> 2478256
2478254 -> 2478257
2478255 -> 2478258
2478256 -> 2478259
2478257 -> 2478260
2478258 -> 2478261
2478259 -> 2478262
2478257 -> 2478263
