method: org.apache.fop.svg.PDFGraphicsConfiguration.<clinit>:105724532
2462529 -> 2462530
2462529 -> 2462531
2462530 -> 2462532
2462532 -> 2462533
2462534 -> 2462535
2462533 -> 2462536
2462535 -> 2462537
2462536 -> 2462538
2462538 -> 2462539
2462540 -> 2462541
2462539 -> 2462542
2462541 -> 2462543
2462542 -> 2462544
2462543 -> 2462545
2462542 -> 2462546
