method: org.apache.fop.fonts.autodetect.FontFileFinder.handleDirectory:1480167537
471444 -> 471445
471446 -> 471447
471448 -> 471449
471450 -> 471451
471445 -> 471452
471447 -> 471453
471449 -> 471454
471451 -> 471455
471452 -> 471456
471453 -> 471457
471454 -> 471458
471455 -> 471459
471456 -> 471460
471457 -> 471461
471458 -> 471462
471459 -> 471463
471460 -> 471464
471461 -> 471465
471462 -> 471466
471463 -> 471467
471464 -> 471468
471465 -> 471469
471466 -> 471470
471467 -> 471471
471464 -> 471472
