method: org.apache.fop.fonts.FontTriplet.getKey:1602074610
0(1602074610) -> 0(1932360890) 
this(1602074610) -> this(1932360890) 
0(1602074610) -> $r0(1932360890) 
0(1602074610) -> $r1(1932360890) 
0(1602074610) -> $r2(1932360890) 
0(1602074610) -> $r3(1932360890) 
0(1932360890) -> 0(783745991) 
this(1932360890) -> this(783745991) 
$r0(1932360890) -> $r0(783745991) 
$r1(1932360890) -> $r1(783745991) 
$r2(1932360890) -> $r2(783745991) 
$r3(1932360890) -> $r3(783745991) 
0(783745991) -> 0(1901663686) 
this(783745991) -> this(1901663686) 
$r0(783745991) -> $r0(1901663686) 
$r1(783745991) -> $r1(1901663686) 
$r2(783745991) -> $r2(1901663686) 
$r3(783745991) -> $r3(1901663686) 
0(1901663686) -> 0(87477559) 
this(1901663686) -> this(87477559) 
$r0(1901663686) -> $r0(87477559) 
$r1(1901663686) -> $r1(87477559) 
$r2(1901663686) -> $r2(87477559) 
$r3(1901663686) -> $r3(87477559) 
0(1901663686) -> 0(104411969) 
this(1901663686) -> this(104411969) 
$r0(1901663686) -> $r0(104411969) 
$r1(1901663686) -> $r1(104411969) 
$r2(1901663686) -> $r2(104411969) 
$r3(1901663686) -> $r3(104411969) 
0(104411969) -> 0(983403288) 
this(104411969) -> this(983403288) 
$r1(104411969) -> $r1(983403288) 
$r2(104411969) -> $r2(983403288) 
$r3(104411969) -> $r3(983403288) 
0(983403288) -> 0(765013341) 
this(983403288) -> this(765013341) 
$r0(983403288) -> $r0(765013341) 
$r1(983403288) -> $r1(765013341) 
$r2(983403288) -> $r2(765013341) 
$r3(983403288) -> $r3(765013341) 
0(765013341) -> 0(-765013341) 
this(765013341) -> this(-765013341) 
$r0(765013341) -> $r0(-765013341) 
$r1(765013341) -> $r1(-765013341) 
$r3(765013341) -> $r3(-765013341) 
0(-765013341) -> 0(594627598) 
this(-765013341) -> this(594627598) 
$r0(-765013341) -> $r0(594627598) 
$r1(-765013341) -> $r1(594627598) 
$r2(-765013341) -> $r2(594627598) 
$r3(-765013341) -> $r3(594627598) 
0(594627598) -> 0(-594627598) 
this(594627598) -> this(-594627598) 
$r1(594627598) -> $r1(-594627598) 
$r2(594627598) -> $r2(-594627598) 
$r3(594627598) -> $r3(-594627598) 
0(-594627598) -> 0(21053549) 
this(-594627598) -> this(21053549) 
$r0(-594627598) -> $r0(21053549) 
$r1(-594627598) -> $r1(21053549) 
$r2(-594627598) -> $r2(21053549) 
$r3(-594627598) -> $r3(21053549) 
0(21053549) -> 0(-21053549) 
this(21053549) -> this(-21053549) 
$r1(21053549) -> $r1(-21053549) 
$r2(21053549) -> $r2(-21053549) 
$r3(21053549) -> $r3(-21053549) 
0(-21053549) -> 0(575576662) 
this(-21053549) -> this(575576662) 
