method: org.apache.fop.layoutmgr.KnuthSequence.<init>:6324668
1326308 -> 1326309
1326310 -> 1326311
1326312 -> 1326313
1326309 -> 1326314
1326311 -> 1326315
1326313 -> 1326316
1326314 -> 1326317
1326315 -> 1326318
1326316 -> 1326319
1326317 -> 1326320
1326318 -> 1326321
1326319 -> 1326322
1326320 -> 1326323
1326321 -> 1326324
1326322 -> 1326325
1326320 -> 1326326
