method: org.apache.fop.fo.flow.table.TableCell.getNumberColumnsSpanned:1622200174
235470 -> 235471
235472 -> 235473
235471 -> 235474
235473 -> 235475
235474 -> 235476
235475 -> 235477
235476 -> 235478
235477 -> 235479
235478 -> 235480
235479 -> 235481
235480 -> 235482
235481 -> 235483
235480 -> 235484
