method: org.apache.fop.fo.flow.table.TableRow.setCollapsedBorders:1378454328
243582 -> 243583
243584 -> 243585
243582 -> 243586
243582 -> 243587
243583 -> 243588
243585 -> 243589
243586 -> 243590
243587 -> 243591
243588 -> 243592
243589 -> 243593
243590 -> 243594
243591 -> 243595
243592 -> 243596
243593 -> 243597
243595 -> 243598
243595 -> 243599
243596 -> 243600
243597 -> 243601
243598 -> 243602
243599 -> 243603
243600 -> 243604
243601 -> 243605
243602 -> 243606
243603 -> 243607
243604 -> 243608
243605 -> 243609
243606 -> 243610
243607 -> 243611
243608 -> 243612
243609 -> 243613
243610 -> 243614
243611 -> 243615
243612 -> 243616
243613 -> 243617
243614 -> 243618
243615 -> 243619
243612 -> 243620
