method: org.apache.fop.fonts.FontCache.addFont:1358040509
0(1358040509) -> 0(1702640601) 
this(1358040509) -> this(1702640601) 
fontInfo(1358040509) -> fontInfo(1702640601) 
0(1358040509) -> cacheKey(1702640601) 
0(1358040509) -> l3(1702640601) 
0(1358040509) -> l4(1702640601) 
0(1358040509) -> $r0(1702640601) 
0(1358040509) -> $r1(1702640601) 
0(1358040509) -> $r2(1702640601) 
0(1358040509) -> $r3(1702640601) 
0(1358040509) -> $r4(1702640601) 
0(1358040509) -> $r5(1702640601) 
0(1358040509) -> $r6(1702640601) 
0(1702640601) -> 0(1060984732) 
this(1702640601) -> this(1060984732) 
fontInfo(1702640601) -> fontInfo(1060984732) 
cacheKey(1702640601) -> cacheKey(1060984732) 
l3(1702640601) -> l3(1060984732) 
l4(1702640601) -> l4(1060984732) 
$r0(1702640601) -> $r0(1060984732) 
$r1(1702640601) -> $r1(1060984732) 
$r2(1702640601) -> $r2(1060984732) 
$r3(1702640601) -> $r3(1060984732) 
$r4(1702640601) -> $r4(1060984732) 
$r5(1702640601) -> $r5(1060984732) 
$r6(1702640601) -> $r6(1060984732) 
0(1060984732) -> 0(573101066) 
this(1060984732) -> this(573101066) 
fontInfo(1060984732) -> fontInfo(573101066) 
cacheKey(1060984732) -> cacheKey(573101066) 
l3(1060984732) -> l3(573101066) 
l4(1060984732) -> l4(573101066) 
$r0(1060984732) -> $r0(573101066) 
$r1(1060984732) -> $r1(573101066) 
$r2(1060984732) -> $r2(573101066) 
$r3(1060984732) -> $r3(573101066) 
$r4(1060984732) -> $r4(573101066) 
$r5(1060984732) -> $r5(573101066) 
$r6(1060984732) -> $r6(573101066) 
0(573101066) -> 0(-573101066) 
this(573101066) -> this(-573101066) 
fontInfo(573101066) -> fontInfo(-573101066) 
l3(573101066) -> l3(-573101066) 
l4(573101066) -> l4(-573101066) 
$r0(573101066) -> $r0(-573101066) 
$r1(573101066) -> $r1(-573101066) 
$r2(573101066) -> $r2(-573101066) 
$r3(573101066) -> $r3(-573101066) 
$r4(573101066) -> $r4(-573101066) 
$r5(573101066) -> $r5(-573101066) 
$r6(573101066) -> $r6(-573101066) 
0(-573101066) -> 0(1297360872) 
this(-573101066) -> this(1297360872) 
fontInfo(-573101066) -> fontInfo(1297360872) 
cacheKey(-573101066) -> cacheKey(1297360872) 
l3(-573101066) -> l3(1297360872) 
l4(-573101066) -> l4(1297360872) 
$r0(-573101066) -> $r0(1297360872) 
$r1(-573101066) -> $r1(1297360872) 
$r2(-573101066) -> $r2(1297360872) 
$r3(-573101066) -> $r3(1297360872) 
$r4(-573101066) -> $r4(1297360872) 
$r5(-573101066) -> $r5(1297360872) 
$r6(-573101066) -> $r6(1297360872) 
0(1297360872) -> 0(1130369715) 
this(1297360872) -> this(1130369715) 
fontInfo(1297360872) -> fontInfo(1130369715) 
cacheKey(1297360872) -> cacheKey(1130369715) 
l3(1297360872) -> l3(1130369715) 
l4(1297360872) -> l4(1130369715) 
$r0(1297360872) -> $r0(1130369715) 
$r1(1297360872) -> $r1(1130369715) 
$r2(1297360872) -> $r2(1130369715) 
$r3(1297360872) -> $r3(1130369715) 
$r4(1297360872) -> $r4(1130369715) 
$r5(1297360872) -> $r5(1130369715) 
$r6(1297360872) -> $r6(1130369715) 
0(1130369715) -> 0(1483458643) 
this(1130369715) -> this(1483458643) 
fontInfo(1130369715) -> fontInfo(1483458643) 
cacheKey(1130369715) -> cacheKey(1483458643) 
l4(1130369715) -> l4(1483458643) 
$r0(1130369715) -> l3(1483458643) 
$r0(1130369715) -> $r0(1483458643) 
$r1(1130369715) -> $r1(1483458643) 
$r2(1130369715) -> $r2(1483458643) 
$r3(1130369715) -> $r3(1483458643) 
$r4(1130369715) -> $r4(1483458643) 
$r5(1130369715) -> $r5(1483458643) 
$r6(1130369715) -> $r6(1483458643) 
0(1483458643) -> 0(-1358040509) 
this(1483458643) -> this(-1358040509) 
fontInfo(1483458643) -> fontInfo(-1358040509) 
cacheKey(1483458643) -> cacheKey(-1358040509) 
l3(1483458643) -> l3(-1358040509) 
l4(1483458643) -> l4(-1358040509) 
$r0(1483458643) -> $r0(-1358040509) 
$r1(1483458643) -> $r1(-1358040509) 
$r2(1483458643) -> $r2(-1358040509) 
$r3(1483458643) -> $r3(-1358040509) 
$r4(1483458643) -> $r4(-1358040509) 
$r5(1483458643) -> $r5(-1358040509) 
$r6(1483458643) -> $r6(-1358040509) 
0(1947814424) -> 0(-1947814424) 
this(1947814424) -> this(-1947814424) 
fontInfo(1947814424) -> fontInfo(-1947814424) 
cacheKey(1947814424) -> cacheKey(-1947814424) 
l3(1947814424) -> l3(-1947814424) 
l4(1947814424) -> l4(-1947814424) 
$r0(1947814424) -> $r0(-1947814424) 
$r1(1947814424) -> $r1(-1947814424) 
$r2(1947814424) -> $r2(-1947814424) 
$r3(1947814424) -> $r3(-1947814424) 
$r4(1947814424) -> $r4(-1947814424) 
$r5(1947814424) -> $r5(-1947814424) 
$r6(1947814424) -> $r6(-1947814424) 
0(-1947814424) -> 0(676309300) 
this(-1947814424) -> this(676309300) 
fontInfo(-1947814424) -> fontInfo(676309300) 
cacheKey(-1947814424) -> cacheKey(676309300) 
l3(-1947814424) -> l3(676309300) 
l4(-1947814424) -> l4(676309300) 
$r0(-1947814424) -> $r0(676309300) 
$r1(-1947814424) -> $r1(676309300) 
$r2(-1947814424) -> $r2(676309300) 
$r3(-1947814424) -> $r3(676309300) 
$r4(-1947814424) -> $r4(676309300) 
$r5(-1947814424) -> $r5(676309300) 
$r6(-1947814424) -> $r6(676309300) 
0(676309300) -> 0(2206191) 
this(676309300) -> this(2206191) 
fontInfo(676309300) -> fontInfo(2206191) 
cacheKey(676309300) -> cacheKey(2206191) 
l3(676309300) -> l3(2206191) 
l4(676309300) -> l4(2206191) 
$r0(676309300) -> $r0(2206191) 
$r1(676309300) -> $r1(2206191) 
$r2(676309300) -> $r2(2206191) 
$r3(676309300) -> $r3(2206191) 
$r4(676309300) -> $r4(2206191) 
$r5(676309300) -> $r5(2206191) 
$r6(676309300) -> $r6(2206191) 
0(676309300) -> 0(99461529) 
this(676309300) -> this(99461529) 
fontInfo(676309300) -> fontInfo(99461529) 
cacheKey(676309300) -> cacheKey(99461529) 
l3(676309300) -> l3(99461529) 
l4(676309300) -> l4(99461529) 
$r0(676309300) -> $r0(99461529) 
$r1(676309300) -> $r1(99461529) 
$r2(676309300) -> $r2(99461529) 
$r3(676309300) -> $r3(99461529) 
$r4(676309300) -> $r4(99461529) 
$r5(676309300) -> $r5(99461529) 
$r6(676309300) -> $r6(99461529) 
0(99461529) -> 0(907640537) 
this(99461529) -> this(907640537) 
fontInfo(99461529) -> fontInfo(907640537) 
cacheKey(99461529) -> cacheKey(907640537) 
l3(99461529) -> l3(907640537) 
l4(99461529) -> l4(907640537) 
$r0(99461529) -> $r0(907640537) 
$r1(99461529) -> $r1(907640537) 
$r2(99461529) -> $r2(907640537) 
$r3(99461529) -> $r3(907640537) 
$r4(99461529) -> $r4(907640537) 
$r5(99461529) -> $r5(907640537) 
$r6(99461529) -> $r6(907640537) 
0(907640537) -> 0(-907640537) 
this(907640537) -> this(-907640537) 
fontInfo(907640537) -> fontInfo(-907640537) 
cacheKey(907640537) -> cacheKey(-907640537) 
l3(907640537) -> l3(-907640537) 
l4(907640537) -> l4(-907640537) 
$r0(907640537) -> $r0(-907640537) 
$r1(907640537) -> $r1(-907640537) 
$r2(907640537) -> $r2(-907640537) 
$r3(907640537) -> $r3(-907640537) 
$r4(907640537) -> $r4(-907640537) 
