method: org.apache.fop.area.MainReference.isEmpty:424841696
0(424841696) -> 0(214433150) 
this(424841696) -> this(214433150) 
0(424841696) -> spaniter(214433150) 
0(424841696) -> spanArea(214433150) 
0(424841696) -> $r0(214433150) 
0(424841696) -> $r1(214433150) 
0(214433150) -> 0(548836236) 
this(214433150) -> this(548836236) 
spaniter(214433150) -> spaniter(548836236) 
spanArea(214433150) -> spanArea(548836236) 
$r0(214433150) -> $r0(548836236) 
$r1(214433150) -> $r1(548836236) 
0(548836236) -> 0(848354587) 
this(548836236) -> this(848354587) 
spaniter(548836236) -> spaniter(848354587) 
spanArea(548836236) -> spanArea(848354587) 
$r0(548836236) -> $r0(848354587) 
$r1(548836236) -> $r1(848354587) 
0(848354587) -> 0(420034849) 
this(848354587) -> this(420034849) 
spaniter(848354587) -> spaniter(420034849) 
spanArea(848354587) -> spanArea(420034849) 
$r0(848354587) -> $r0(420034849) 
$r1(848354587) -> $r1(420034849) 
0(848354587) -> 0(2008088968) 
this(848354587) -> this(2008088968) 
spaniter(848354587) -> spaniter(2008088968) 
spanArea(848354587) -> spanArea(2008088968) 
$r0(848354587) -> $r0(2008088968) 
$r1(848354587) -> $r1(2008088968) 
0(2008088968) -> 0(527021125) 
this(2008088968) -> this(527021125) 
spaniter(2008088968) -> spaniter(527021125) 
spanArea(2008088968) -> spanArea(527021125) 
$r0(2008088968) -> $r0(527021125) 
$r1(2008088968) -> $r1(527021125) 
0(527021125) -> 0(1421487647) 
this(527021125) -> this(1421487647) 
spaniter(527021125) -> spaniter(1421487647) 
spanArea(527021125) -> spanArea(1421487647) 
$r0(527021125) -> $r0(1421487647) 
$r1(527021125) -> $r1(1421487647) 
0(1421487647) -> 0(1231753578) 
this(1421487647) -> this(1231753578) 
spaniter(1421487647) -> spaniter(1231753578) 
spanArea(1421487647) -> spanArea(1231753578) 
$r0(1421487647) -> $r0(1231753578) 
$r1(1421487647) -> $r1(1231753578) 
0(1421487647) -> 0(2059896123) 
this(1421487647) -> this(2059896123) 
spaniter(1421487647) -> spaniter(2059896123) 
spanArea(1421487647) -> spanArea(2059896123) 
$r0(1421487647) -> $r0(2059896123) 
$r1(1421487647) -> $r1(2059896123) 
0(2059896123) -> 0(1769748814) 
this(2059896123) -> this(1769748814) 
spaniter(2059896123) -> spaniter(1769748814) 
spanArea(2059896123) -> spanArea(1769748814) 
$r0(2059896123) -> $r0(1769748814) 
$r1(2059896123) -> $r1(1769748814) 
0(1769748814) -> 0(-1769748814) 
this(1769748814) -> this(-1769748814) 
spanArea(1769748814) -> spanArea(-1769748814) 
$r0(1769748814) -> $r0(-1769748814) 
$r1(1769748814) -> $r1(-1769748814) 
0(-1769748814) -> 0(1208070618) 
this(-1769748814) -> this(1208070618) 
spaniter(-1769748814) -> spaniter(1208070618) 
spanArea(-1769748814) -> spanArea(1208070618) 
$r0(-1769748814) -> $r0(1208070618) 
$r1(-1769748814) -> $r1(1208070618) 
0(1208070618) -> 0(-1208070618) 
this(1208070618) -> this(-1208070618) 
spaniter(1208070618) -> spaniter(-1208070618) 
spanArea(1208070618) -> spanArea(-1208070618) 
$r0(1208070618) -> $r0(-1208070618) 
$r1(1208070618) -> $r1(-1208070618) 
0(-1208070618) -> 0(1732477988) 
this(-1208070618) -> this(1732477988) 
spaniter(-1208070618) -> spaniter(1732477988) 
spanArea(-1208070618) -> spanArea(1732477988) 
$r0(-1208070618) -> $r0(1732477988) 
$r1(-1208070618) -> $r1(1732477988) 
0(1732477988) -> 0(1231753578) 
this(1732477988) -> this(1231753578) 
spaniter(1732477988) -> spaniter(1231753578) 
spanArea(1732477988) -> spanArea(1231753578) 
$r0(1732477988) -> $r0(1231753578) 
$r1(1732477988) -> $r1(1231753578) 
0(1732477988) -> 0(1177342678) 
this(1732477988) -> this(1177342678) 
spaniter(1732477988) -> spaniter(1177342678) 
spanArea(1732477988) -> spanArea(1177342678) 
$r0(1732477988) -> $r0(1177342678) 
$r1(1732477988) -> $r1(1177342678) 
