method: org.apache.fop.layoutmgr.table.TableCellLayoutManager.negotiateBPDAdjustment:1005776971
1488459 -> 1488460
1488461 -> 1488462
1488463 -> 1488464
1488460 -> 1488465
1488462 -> 1488466
1488464 -> 1488467
1488465 -> 1488468
1488466 -> 1488469
1488467 -> 1488470
1488468 -> 1488471
1488469 -> 1488472
1488470 -> 1488473
1488471 -> 1488474
1488472 -> 1488475
1488473 -> 1488476
1488471 -> 1488477
