method: org.apache.fop.render.rtf.rtflib.rtfdoc.RtfAfterBeforeBase.getAttributes:1237185703
2299850 -> 2299851
2299852 -> 2299853
2299850 -> 2299854
2299851 -> 2299855
2299853 -> 2299856
2299854 -> 2299857
2299855 -> 2299858
2299856 -> 2299859
2299857 -> 2299860
2299858 -> 2299861
2299859 -> 2299862
2299860 -> 2299863
2299860 -> 2299864
