method: org.apache.fop.render.awt.viewer.PreviewDialog.access$500:44524086
0(44524086) -> 0(569431982) 
x0(44524086) -> x0(569431982) 
0(44524086) -> $r0(569431982) 
0(569431982) -> 0(881025037) 
x0(569431982) -> x0(881025037) 
$r0(569431982) -> $r0(881025037) 
0(881025037) -> 0(488050794) 
x0(881025037) -> x0(488050794) 
$r0(881025037) -> $r0(488050794) 
0(488050794) -> 0(-44524086) 
x0(488050794) -> x0(-44524086) 
$r0(488050794) -> $r0(-44524086) 
$r0(488050794) -> .return(-44524086) 
