method: org.apache.fop.render.ps.PSTranscoder.<init>:1847251560
0(1847251560) -> 0(738243187) 
this(1847251560) -> this(738243187) 
0(738243187) -> 0(1996605438) 
this(738243187) -> this(1996605438) 
0(1996605438) -> 0(368128444) 
this(1996605438) -> this(368128444) 
0(368128444) -> 0(-1847251560) 
this(368128444) -> this(-1847251560) 
0(368128444) -> .return(-1847251560) 
