method: org.apache.fop.fonts.type1.AFMParser$IsCIDFont.<init>:781814353
890391 -> 890392
890393 -> 890394
890395 -> 890396
890392 -> 890397
890394 -> 890398
890396 -> 890399
890397 -> 890400
890398 -> 890401
890399 -> 890402
890400 -> 890403
890401 -> 890404
890402 -> 890405
890403 -> 890406
890404 -> 890407
890405 -> 890408
890403 -> 890409
