method: org.apache.fop.area.BodyRegion.isEmpty:1938247974
0(1938247974) -> 0(1350959968) 
this(1938247974) -> this(1350959968) 
0(1938247974) -> $r0(1350959968) 
0(1938247974) -> $r1(1350959968) 
0(1938247974) -> $r2(1350959968) 
0(1350959968) -> 0(130314990) 
this(1350959968) -> this(130314990) 
$r0(1350959968) -> $r0(130314990) 
$r1(1350959968) -> $r1(130314990) 
$r2(1350959968) -> $r2(130314990) 
0(130314990) -> 0(1918200637) 
this(130314990) -> this(1918200637) 
$r0(130314990) -> $r0(1918200637) 
$r1(130314990) -> $r1(1918200637) 
$r2(130314990) -> $r2(1918200637) 
0(1918200637) -> 0(1485080714) 
this(1918200637) -> this(1485080714) 
$r0(1918200637) -> $r0(1485080714) 
$r1(1918200637) -> $r1(1485080714) 
$r2(1918200637) -> $r2(1485080714) 
0(1918200637) -> 0(12439370) 
this(1918200637) -> this(12439370) 
$r0(1918200637) -> $r0(12439370) 
$r1(1918200637) -> $r1(12439370) 
$r2(1918200637) -> $r2(12439370) 
0(12439370) -> 0(762577831) 
this(12439370) -> this(762577831) 
$r0(12439370) -> $r0(762577831) 
$r1(12439370) -> $r1(762577831) 
$r2(12439370) -> $r2(762577831) 
0(762577831) -> 0(-762577831) 
this(762577831) -> this(-762577831) 
$r0(762577831) -> $r0(-762577831) 
$r1(762577831) -> $r1(-762577831) 
$r2(762577831) -> $r2(-762577831) 
0(-762577831) -> 0(463200321) 
this(-762577831) -> this(463200321) 
$r0(-762577831) -> $r0(463200321) 
$r1(-762577831) -> $r1(463200321) 
$r2(-762577831) -> $r2(463200321) 
0(463200321) -> 0(308230297) 
this(463200321) -> this(308230297) 
$r0(463200321) -> $r0(308230297) 
$r1(463200321) -> $r1(308230297) 
$r2(463200321) -> $r2(308230297) 
0(463200321) -> 0(1485080714) 
this(463200321) -> this(1485080714) 
$r0(463200321) -> $r0(1485080714) 
$r1(463200321) -> $r1(1485080714) 
$r2(463200321) -> $r2(1485080714) 
0(1485080714) -> 0(1696614764) 
this(1485080714) -> this(1696614764) 
$r0(1485080714) -> $r0(1696614764) 
$r1(1485080714) -> $r1(1696614764) 
$r2(1485080714) -> $r2(1696614764) 
0(1696614764) -> 0(510381772) 
this(1696614764) -> this(510381772) 
$r0(1696614764) -> $r0(510381772) 
$r1(1696614764) -> $r1(510381772) 
$r2(1696614764) -> $r2(510381772) 
0(1696614764) -> 0(832364645) 
this(1696614764) -> this(832364645) 
$r0(1696614764) -> $r0(832364645) 
$r1(1696614764) -> $r1(832364645) 
$r2(1696614764) -> $r2(832364645) 
0(832364645) -> 0(844111957) 
this(832364645) -> this(844111957) 
$r0(832364645) -> $r0(844111957) 
$r1(832364645) -> $r1(844111957) 
$r2(832364645) -> $r2(844111957) 
0(844111957) -> 0(-844111957) 
this(844111957) -> this(-844111957) 
